[LEVEL]
1F BIMS plan
320.181884765625 114.714813232422 -1.31233596801758
298.282287597656 128.477630615234 -1.31233596801758
320.181884765625 127.920196533203 -1.31233596801758
0 0 -1
298.282287597656 128.477630615234 -1.31233596801758
320.181884765625 114.714813232422 -1.31233596801758
256.205535888672 81.5780181884766 -1.31233596801758
0 0 -1
256.205535888672 81.5780181884766 -1.31233596801758
320.181884765625 114.714813232422 -1.31233596801758
331.878082275391 114.714813232422 -1.31233596801758
0 0 -1
298.282287597656 128.477630615234 -1.31233596801758
298.282287597656 138.254531860352 -1.31233596801758
313.866271972656 136.286026000977 -1.31233596801758
0 0 -1
298.282287597656 128.477630615234 -1.31233596801758
313.866271972656 136.286026000977 -1.31233596801758
320.181884765625 127.920196533203 -1.31233596801758
0 0 -1
256.205535888672 128.477630615234 -1.31233596801758
298.282287597656 128.477630615234 -1.31233596801758
256.205535888672 81.5780181884766 -1.31233596801758
0 0 -1
320.181884765625 127.920196533203 -1.31233596801758
313.866271972656 136.286026000977 -1.31233596801758
331.878082275391 127.920196533203 -1.31233596801758
0 0 -1
364.555267333984 136.286026000977 -1.31233596801758
407.124145507813 81.5780181884766 -1.31233596801758
331.878082275391 114.714813232422 -1.31233596801758
0 0 -1
331.878082275391 114.714813232422 -1.31233596801758
407.124145507813 81.5780181884766 -1.31233596801758
256.205535888672 81.5780181884766 -1.31233596801758
0 0 -1
364.555267333984 136.286026000977 -1.31233596801758
331.878082275391 114.714813232422 -1.31233596801758
331.878082275391 127.920196533203 -1.31233596801758
0 0 -1
402.859069824219 155.396911621094 -1.31233596801758
428.767242431641 128.494033813477 -1.31233596801758
407.124145507813 128.494033813477 -1.31233596801758
0 0 -1
364.555267333984 136.286026000977 -1.31233596801758
407.124145507813 128.494033813477 -1.31233596801758
407.124145507813 81.5780181884766 -1.31233596801758
0 0 -1
402.859069824219 155.396911621094 -1.31233596801758
407.124145507813 128.494033813477 -1.31233596801758
364.555267333984 136.286026000977 -1.31233596801758
0 0 -1
331.878082275391 127.920196533203 -1.31233596801758
313.866271972656 136.286026000977 -1.31233596801758
364.555267333984 136.286026000977 -1.31233596801758
0 0 -1
364.555267333984 155.396911621094 -1.31233596801758
402.859069824219 155.396911621094 -1.31233596801758
364.555267333984 136.286026000977 -1.31233596801758
0 0 -1
298.282287597656 138.254531860352 -1.31233596801758
313.866271972656 138.254531860352 -1.31233596801758
313.866271972656 136.286026000977 -1.31233596801758
0 0 -1
402.859069824219 307.102966308594 -1.31233596801758
415.703552246094 176.787994384766 -1.31233596801758
402.859069824219 155.396911621094 -1.31233596801758
0 0 -1
402.859069824219 307.102966308594 -1.31233596801758
428.767242431641 198.703994750977 -1.31233596801758
415.703552246094 176.787994384766 -1.31233596801758
0 0 -1
402.859069824219 155.396911621094 -1.31233596801758
415.703552246094 176.787994384766 -1.31233596801758
415.703552246094 166.994689941406 -1.31233596801758
0 0 -1
428.767242431641 166.994689941406 -1.31233596801758
428.767242431641 128.494033813477 -1.31233596801758
415.703552246094 166.994689941406 -1.31233596801758
0 0 -1
428.767242431641 198.703994750977 -1.31233596801758
429.423400878906 307.102966308594 -1.31233596801758
429.423400878906 198.703994750977 -1.31233596801758
0 0 -1
428.767242431641 176.787994384766 -1.31233596801758
415.703552246094 176.787994384766 -1.31233596801758
428.767242431641 198.703994750977 -1.31233596801758
0 0 -1
402.859069824219 307.102966308594 -1.31233596801758
429.423400878906 307.102966308594 -1.31233596801758
428.767242431641 198.703994750977 -1.31233596801758
0 0 -1
415.703552246094 166.994689941406 -1.31233596801758
428.767242431641 128.494033813477 -1.31233596801758
402.859069824219 155.396911621094 -1.31233596801758
0 0 -1
402.859069824219 307.102966308594 0
402.859069824219 155.396911621094 0
415.703552246094 176.787994384766 0
0 0 1
402.859069824219 307.102966308594 0
415.703552246094 176.787994384766 0
428.767242431641 198.703994750977 0
0 0 1
402.859069824219 155.396911621094 0
364.555267333984 155.396911621094 0
364.555267333984 136.286026000977 0
0 0 1
313.866271972656 138.254531860352 0
298.282287597656 138.254531860352 0
313.866271972656 136.286026000977 0
0 0 1
415.703552246094 176.787994384766 0
402.859069824219 155.396911621094 0
415.703552246094 166.994689941406 0
0 0 1
429.423400878906 307.102966308594 0
428.767242431641 198.703994750977 0
429.423400878906 198.703994750977 0
0 0 1
429.423400878906 307.102966308594 0
402.859069824219 307.102966308594 0
428.767242431641 198.703994750977 0
0 0 1
428.767242431641 176.787994384766 0
428.767242431641 198.703994750977 0
415.703552246094 176.787994384766 0
0 0 1
428.767242431641 128.494033813477 0
428.767242431641 166.994689941406 0
415.703552246094 166.994689941406 0
0 0 1
415.703552246094 166.994689941406 0
402.859069824219 155.396911621094 0
428.767242431641 128.494033813477 0
0 0 1
298.282287597656 138.254531860352 0
298.282287597656 128.477630615234 0
313.866271972656 136.286026000977 0
0 0 1
298.282287597656 128.477630615234 0
256.205535888672 128.477630615234 0
256.205535888672 81.5780181884766 0
0 0 1
313.866271972656 136.286026000977 0
298.282287597656 128.477630615234 0
320.181884765625 127.920196533203 0
0 0 1
298.282287597656 128.477630615234 0
320.181884765625 114.714813232422 0
320.181884765625 127.920196533203 0
0 0 1
320.181884765625 114.714813232422 0
298.282287597656 128.477630615234 0
256.205535888672 81.5780181884766 0
0 0 1
320.181884765625 114.714813232422 0
256.205535888672 81.5780181884766 0
331.878082275391 114.714813232422 0
0 0 1
364.555267333984 136.286026000977 0
313.866271972656 136.286026000977 0
331.878082275391 127.920196533203 0
0 0 1
407.124145507813 128.494033813477 0
428.767242431641 128.494033813477 0
402.859069824219 155.396911621094 0
0 0 1
407.124145507813 128.494033813477 0
364.555267333984 136.286026000977 0
407.124145507813 81.5780181884766 0
0 0 1
407.124145507813 128.494033813477 0
402.859069824219 155.396911621094 0
364.555267333984 136.286026000977 0
0 0 1
331.878082275391 114.714813232422 0
407.124145507813 81.5780181884766 0
364.555267333984 136.286026000977 0
0 0 1
407.124145507813 81.5780181884766 0
331.878082275391 114.714813232422 0
256.205535888672 81.5780181884766 0
0 0 1
331.878082275391 114.714813232422 0
364.555267333984 136.286026000977 0
331.878082275391 127.920196533203 0
0 0 1
320.181884765625 127.920196533203 0
331.878082275391 127.920196533203 0
313.866271972656 136.286026000977 0
0 0 1
256.205535888672 81.5780181884766 -1.31233596801758
256.205535888672 81.5780181884766 0
256.205535888672 128.477630615234 0
-1 1.21202336962393E-15 0
